Country,Minimum wage, Annual Nominal (US$),Annual PPP (Int$),Workweek (hours),Hourly Nominal (US$),Hourly PPP (Int$),Percent of GDP per capita,Effective per
Saint Vincent and the Grenadines,"Set sector by sector; for example, EC$56 ($20.74) per day for agriculture workers (shelter not provided); EC$40 ($14.81) per day for industrial workers; and EC$25 per day for household domestic workers.[10][207][208]",2407,3351,40,1.16,1.61,29.20%,1-Jul-08
Samoa,WST$2.00 ($0.89) per hour for the private sector; WST$2.65 ($1.18) for the public sector.[10],1589,2237,40,0.76,1.08,35.10%,2012
San Marino,€1501.49 ($1735) per month; or €9.24 ($10) per hour for the lowest paying industry[209][10][210],20580,23400,37.5[211],10.55,12,38.40%,1-Jan-17
São Tomé and Príncipe,"None; 750,000 São Tomé and Príncipe dobras ($40) per month for civil servants[80]",,,,,,,2013
Saudi Arabia,"3,000 Saudi riyals ($800) per month for public sector; does not apply to foreign workers. There are no minimum wage in private sector.[10][212]",9600,18557,48,3.85,7.43,34.10%,2-Feb-13
Senegal,209.10 CFA francs ($0.42) per hour for general workers and 182.95 CFA francs ($0.37) per hour for agricultural workers.[10][18][213],649,1617,40,0.31,0.78,63%,1-Jan-96
Serbia,"45,337 Serbian dinars ($436) gross monthly. Also, 201.22 Serbian dinars ($1.94) per hour net.[10][214]",3410,7291,40,1.64,3.51,50.20%,1-Jan-22
Seychelles,SR26.70 ($1.9) per hour for all workers other than casual workers; SR30.78 ($2.1) per hour for casual workers.[10][215][216],3957,6435,40[217],1.9,3.09,22.70%,1-Jan-14
Sierra Leone,"500,000 Sierra Leonean leones ($57) per month.[10][218][219][220]",666,2602,40,0.32,1.25,176.20%,1-Jan-15
Singapore,"None.[10] However, two exceptions: 1) Cleaner jobs to have a minimum wage of 1,200 Singapore dollars ($860) per month effective July 2019.[221] 2) Security guards to have a minimum wage of 1,100 SGD ($802) per month effective September 2016.[222]",,,44,,,,2019
Slovakia,"€623 ($712) per month, or €3.58 ($4.09) per hour.[18][223]",8410,13388,40,4.04,6.44,44%,1-Jan-21
Slovenia,€886.63 per month.[18][37][224],12153,15880,40,5.84,7.63,48.50%,1-Jan-19
Solomon Islands,"SI$4.00 ($0.55) per hour for all workers except those in the fishing and agricultural sectors, who received SI$3.20 per hour.[10]",916,955,45,0.39,0.41,42.70%,1-May-08
Somalia,None.[10],,,48,,,,2013
South Africa,"R20 per hour for all workers, except for farm workers who have a minimum of R18, domestic workers who have a minimum of R15, and Expanded Public Works Programme workers who have a minimum of R11.[225]",3239,8897,45,1.38,3.8,67.40%,1-Jan-19
South Sudan,None.[226],,,,,,,2011
Spain,"€1108 ($1266) per month in 12 payments, €950 ($1085) per month in 14 payments.[227]",15187,17968,40,7.3,8.64,49.50%,1-Jan-20
Sri Lanka,"10,000 rupees (US$70.75) per month.The minimum wages are set according to National Minimum Wage of Workers Act, No. 3 of 2016[18]",671,2414,45,0.29,1.03,19.60%,1-Jan-16
Sudan,425 Sudanese pounds (US$0.95 as of August 2021) per month.[228] See Minimum wage in Sudan.,84,1087,40,0.04,0.52,23%,2013
Suriname,None; SRD 600 ($180) per month is the lowest wage for civil servants.[10],,,45,,,,2013
Sweden,"None; in Sweden the law provides for the right of workers to form and join independent unions to bargain wages collectively, and it prohibits antiunion discrimination.[10]",,,40,,,,2017
Switzerland,"20 Swiss francs ($20.13) per hour in the cantons Jura and Neuchâtel, the rest of the country has no minimum wage.[229] There are a minority of the voluntary General Labour Contracts (GLC, collective labour agreements), reached on a sector-by-sector basis,[230] contain minimum compensation clauses, which provide for compensation ranging from CHF 2,200 to 4,200 ($2214 to $4226) per month for unskilled workers and CHF 2,800 to 5,300 ($2818 to $5333) per month for skilled employees.[10] On 18 May 2014, Swiss voters rejected a federal initiative (by 76.3%) that would have enforced GLCs for every sector and set the hourly minimum wage at CHF 22 ($22.14, or PPP-adjusted $12.55).[231][232]",,,41.7[233][234],,,,2014
Syria,"9,765 to 14,760 Syrian pounds ($6–$10)(adjusted for inflation) per month, plus benefits, including compensation for meals, uniforms, and transportation.[80]",96,2850,40,0.4,1.37,54%,2013
Taiwan,"NT$24,000 ($854 USD) per month; NT$160 ($5.7USD) per hour is the minimum wage in Taiwan.[235][236]",9702,22359,40,5.26,12.12,39.10%,1-Jan-21
Tajikistan,"250 Tajikistani somoni ($31) per month, plus certain government subsidies for workers and their families.[80][237]",315,1288,40,0.15,0.62,43.20%,1-Sep-13
Tanzania,"Varies by sector from 40,000 Tanzanian shillings ($17) per month, to 400,000 shillings ($174) per month.[10][18]",209,593,45[238],0.09,0.25,21.30%,1-Jul-13
Thailand,"Ranges from 313 to 336 baht ($10.35–11.10) per day and up, depending on the cost of living in various provinces; set by provincial tripartite wage committees that sometimes include only employer representatives.[239]",3316,8031,48,1.33,3.22,47.50%,1-Jan-20
Timor-Leste,US$115 per month.[10][240],1380,2123,44,0.6,0.93,99.20%,22-Jun-12
Togo,"35,000 ($70) CFA francs per month.[10][18]",717,1796,40,0.34,0.86,120.50%,1-Jan-12
Tonga,None[10],,,40,,,,2013
Trinidad and Tobago,"TT$15.00 ($2.36) per hour.,[241] ($355) per month",4619,5503,40,2.22,2.65,16.70%,1-Jan-15
Tunisia,For the industrial sector: 465 Tunisian dinars ($166) per month for a 48-hour workweek and 401 dinars ($143) per month for a 40‑hour workweek.[242],1902,6723,48,0.76,2.69,58%,2020
Turkey,"3,446 Turkish liras ($255) per month.[243]",7288,25845,45,3.11,11.04,102.40%,1-Jan-22
Turkmenistan,535 Turkmenistani manat ($156) per month.[10][244],1834,4842,40,0.88,2.33,28.70%,1-Jan-15
Tuvalu,"None; the minimum annual salary in the public sector was approximately A$3,000 to A$4,000 ($3,120 to $4,160).[10]",,,,,,,2013
Uganda,"130,000 Ugandan shillings ($34.58) per month.[10][18][41]",417,1298,40,0.2,0.62,71.30%,1-Jul-17
Ukraine,"₴ 6500 (UAH) ($239.23) per month, 39,12 hryvnias ($1.44) per hour, annual wage 2,870 US.[18][245]",3018,13198,40,1.45,6.35,159.60%,1-Dec-21
United Arab Emirates,None.[10],,,48,,,,2013
United Kingdom,The minimum wage in the United Kingdom is: £8.91 ($11.37) per hour for those aged 23+ £8.36 ($10.67) per hour for those aged 21–22 £6.56 ($8.37) per hour for those aged 18–20 £4.62 ($5.9) per hour for under 18 £4.30 ($5.49) per hour for apprentices aged 16 to 18 and those aged 19 or over who are in their first year[246],23656,23166,40,11.37,11.14,54.30%,1-Apr-21
United States,"The federal nationwide minimum wage in the United States is US$7.25 per hour.[247] States may also set a minimum, in which case the higher of the two is controlling; some territories are exempt and have lower rates.[247] As of July 1, 2019[248][249] Local government minimum wages exist as well, the highest of which reach to $16 per hour.[250]",15080,15080,40,7.25,7.25,26.20%,24-Jul-09
Uruguay,"17,930 Uruguayan pesos ($423) per month.[251][252]",6103,9183,48,2.45,3.68,42.50%,2021
Uzbekistan,"634,880 Uzbekistani som ($66) per month.[10][253]",862,7954,40,0.41,3.82,122.10%,1-Sep-19
Vanuatu,"30,000 Vanuatu vatu ($323) per month, 170 vatu per hour.[10][254]",3095,3041,40,1.49,1.46,98.70%,20-Aug-12
Venezuela,"The minimum wage in Venezuela is 400,000 Venezuelan Bolívares per month, including a food bond the total raises up to 800,000 Bolívares, which is equivalent to about US$0.86 as November 26.[255][256][257]",10.32,,,,,,1-May-20
Vietnam,"Varies by region; Region I: VND 3,980,000 per month; Region II: VND 3,530,000 per month; Region III: VND 3,090,000 per month and Region IV: VND 2,760,000 per month.[10][18]",1437,3676,40,0.69,1.77,58.40%,1-Jan-18
Yemen,"None; the minimum civil service wage was 21,000 rials ($100) per month.",,,48,,,,2013
Zambia,"Varies by sector; K993.60 Zambian kwacha ($81) per month for domestic workers. Shop workers’ minimum wage is K1,698.60 with transport, lunch and housing allowances inclusive, and wages increasing according to the grades of employees, with the minimum wage of the highest grade in this category being K3,558.90. In the general workers’ category, which includes receptionists and guards among others, the minimum wage for category one workers is K1,698.60, while the highest category is at K3,151.61.[258]",925,3180,48,0.37,1.27,80.80%,10-Sep-18
Zimbabwe,"None, except for agricultural and domestic workers; government regulations for each of the 22 industrial sectors specify minimum wages. The minimum wage for all mine workers is currently pegged at $227 per month.[126]",,,,,,,2012
